Team,Player,Span,Mat,Inns,Dis,Ct,St,Ct Wk,Ct Fi,MD,D/I,Start Date,End Date
GT,PJ Sangwan,2022-2022,3,3.0,1.0,1.0,0.0,0.0,1.0,,0.333,2022-01-01,2022-12-31
GT,BR Sharath,2024-2024,1,1.0,1.0,1.0,0.0,1.0,0.0,,1.0,2024-01-01,2024-12-31
GT,KS Williamson,2023-2024,3,3.0,1.0,1.0,0.0,0.0,1.0,,0.333,2023-01-01,2024-12-31
GT,J Yadav,2023-2023,1,1.0,1.0,1.0,0.0,0.0,1.0,,1.0,2023-01-01,2023-12-31
GT,UT Yadav,2024-2024,7,7.0,1.0,1.0,0.0,0.0,1.0,,0.142,2024-01-01,2024-12-31
GT,VR Aaron,2022-2022,2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-01-01,2022-12-31
GT,Azmatullah Omarzai,2024-2024,7,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-01-01,2024-12-31
GT,JC Buttler,2025-2025,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-01-01,2025-12-31
GT,Kartik Tyagi,2024-2024,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-01-01,2024-12-31
GT,Mohammed Siraj,2025-2025,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-01-01,2025-12-31
GT,M Prasidh Krishna,2025-2025,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-01-01,2025-12-31
GT,K Rabada,2025-2025,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-01-01,2025-12-31
GT,S Sandeep Warrier,2024-2024,5,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-01-01,2024-12-31
GT,MJ Suthar,2024-2024,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-01-01,2024-12-31
LSG,KL Rahul,2022-2024,38,38.0,30.0,28.0,2.0,14.0,14.0,,0.789,2022-01-01,2024-12-31
LSG,DJ Hooda,2022-2024,38,38.0,20.0,20.0,0.0,0.0,20.0,,0.526,2022-01-01,2024-12-31
LSG,Q de Kock,2022-2024,30,30.0,19.0,17.0,2.0,15.0,2.0,,0.633,2022-01-01,2024-12-31
LSG,KH Pandya,2022-2024,43,42.0,18.0,18.0,0.0,0.0,18.0,,0.428,2022-01-01,2024-12-31
LSG,N Pooran,2023-2025,30,29.0,18.0,15.0,3.0,5.0,10.0,,0.62,2023-01-01,2025-12-31
LSG,Ravi Bishnoi,2022-2025,44,43.0,16.0,16.0,0.0,0.0,16.0,,0.372,2022-01-01,2025-12-31
LSG,A Badoni,2022-2025,43,42.0,15.0,15.0,0.0,0.0,15.0,,0.357,2022-01-01,2025-12-31
LSG,MP Stoinis,2022-2024,40,39.0,12.0,12.0,0.0,0.0,12.0,,0.307,2022-01-01,2024-12-31
LSG,K Gowtham,2022-2024,12,11.0,7.0,7.0,0.0,0.0,7.0,,0.636,2022-01-01,2024-12-31
LSG,Naveen-ul-Haq,2023-2024,18,17.0,6.0,6.0,0.0,0.0,6.0,,0.352,2023-01-01,2024-12-31
LSG,Avesh Khan,2022-2023,22,22.0,4.0,4.0,0.0,0.0,4.0,,0.181,2022-01-01,2023-12-31
LSG,JO Holder,2022-2022,12,12.0,4.0,4.0,0.0,0.0,4.0,,0.333,2022-01-01,2022-12-31
