Player,Batting Form,Bowling Form,Fielding Form,Credits,Player Type,Bowler Type,Team
Simarjeet- Singh,25.002676086491107,54.06137871976022,33.65287946906444,6.0,BOWL,PACE,SRH
Spencer Johnson,25.841168914579313,50.193320488118175,43.80777135517019,6.5,BOWL,PACE,KKR
Sunil Narine,76.77392421323056,73.57342110897024,52.60834938985228,9.0,ALL,SPIN,KKR
Suryakumar Yadav,89.42429886533932,35.55780346820809,43.53727253264825,9.0,BAT,-,MI
Suryansh Shedge,55.434876543209874,56.21592592592593,53.230395061728395,5.5,ALL,-,PBKS
Suyash Sharma,12.876878612716762,62.72836651680582,31.745365018197383,6.0,BOWL,SPIN,RCB
Swapnil Singh,50.46666845072433,54.467428816099336,47.71712338542781,7.0,ALL,SPIN,RCB
Swastik Chikara,66.69861111111109,34.63165740740741,53.139351851851856,5.5,BAT,-,RCB
T Natarajan,20.06328602012417,71.9321941768358,45.593633055020334,7.5,BOWL,PACE,DC
Tilak Varma,81.68345108113894,33.164739884393065,67.26163562406336,8.0,BAT,-,MI
Tim David,76.55654035538427,35.55780346820809,64.57377435238706,7.5,BAT,-,RCB
Travis Head,88.43551701991007,27.754335260115607,30.79160779276386,9.0,BAT,-,SRH
Trent Boult,32.049668165275094,76.4111753371869,39.98235923785057,8.5,BOWL,PACE,MI
Tripurana Vijay,24.908407407407406,68.55296296296297,39.574592592592595,5.5,BOWL,-,DC
Tristan Stubbs,77.12741383001497,34.010939841575684,63.911496467565826,8.0,BAT,-,DC
Tushar Deshpande,26.099100834938984,70.01445086705202,44.934938985227994,7.5,BOWL,PACE,RR
Umran Malik,32.97369064440163,70.85271440804968,45.593633055020334,6.0,BOWL,PACE,KKR
Vaibhav Arora,20.160115606936415,77.79982873046457,36.860971954613575,6.5,BOWL,PACE,KKR
Vaibhav Suryavanshi,66.69861111111109,34.63165740740741,53.139351851851856,5.0,BAT,-,RR
Vansh Bedi,72.81259259259258,35.64023456790123,68.5262962962963,5.0,WK,-,CHE
Varun Chakravarthy,18.43468208092485,88.11765146649539,41.716463284093344,9.0,BOWL,SPIN,KKR
Venkatesh Iyer,78.48735816741596,31.161849710982658,60.907642903018626,8.0,BAT,-,KKR
Vignesh Puthur,35.40840740740741,68.55296296296297,39.574592592592595,5.0,BOWL,SPIN,MI
Vijay Shankar,66.19360950545921,30.069364161849713,57.569492614001284,6.5,BAT,-,CHE
Vipraj Nigam,35.40840740740741,68.55296296296297,39.574592592592595,5.0,BOWL,SPIN,DC
Virat Kohli,85.68815028901733,35.55780346820809,54.819332048811816,9.0,BAT,-,RCB
Vishnu Vinod,69.68687004923997,35.639038036109326,55.447163348319414,6.5,WK,-,PBKS
Vyshak Vijaykumar,21.746820809248554,44.36055448512096,36.860971954613575,7.0,BOWL,PACE,PBKS
Wanindu Hasaranga,37.067737101263106,81.95098479982873,53.190879897238275,8.5,ALL,SPIN,RR
Washington Sundar,65.41062941554269,36.1864161849711,35.82050952686791,7.0,ALL,SPIN,GT
Wiaan Mulder,55.434876543209874,56.21592592592593,53.230395061728395,7.0,ALL,PACE,SRH
Will Jacks,57.84272104474417,58.72668593448941,51.630186255619776,7.5,ALL,SPIN,MI
Xavier Bartlett,24.908407407407406,68.55296296296297,39.574592592592595,6.5,BOWL,PACE,PBKS
Yash Dayal,12.876878612716762,77.0827124812674,45.10834938985227,7.0,BOWL,PACE,RCB
Yash Thakur,12.876878612716762,61.18946692357096,34.606636694497965,6.5,BOWL,PACE,PBKS
Yashasvi Jaiswal,75.22282166559623,27.65028901734104,72.05664739884392,9.0,BAT,-,RR
Yudhvir Singh Charak,24.755491329479767,39.36562834510812,30.79160779276386,6.5,ALL,-,RR
Yuvraj Chaudhary,55.434876543209874,56.21592592592593,53.230395061728395,5.0,ALL,-,LSG
Yuzvendra Chahal,15.113872832369943,66.4810854206808,52.62729608220938,8.5,BOWL,SPIN,PBKS
Zeeshan Ansari,24.908407407407406,68.55296296296297,39.574592592592595,5.5,BOWL,-,SRH
