Team,Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
SRH,J Suchith,2021-2022,7,3,1,16,14,8.0,14,114.28,0,0,1,2,1
SRH,Virat Singh,2021-2021,3,2,0,15,11,7.5,26,57.69,0,0,0,1,0
SRH,S Gopal,2022-2022,1,1,1,9,9,,7,128.57,0,0,0,2,0
SRH,S Kaul,2021-2021,8,2,2,8,7,,8,100.0,0,0,0,1,0
SRH,Sandeep Sharma,2021-2021,7,2,1,8,8,8.0,7,114.28,0,0,1,1,0
SRH,SA Abbott,2022-2022,1,1,0,7,7,7.0,5,140.0,0,0,0,0,1
SRH,Kartik Tyagi,2022-2023,5,2,0,7,7,3.5,6,116.66,0,0,1,1,0
SRH,V Viyaskanth,2024-2024,3,1,1,7,7,,5,140.0,0,0,0,0,0
SRH,Fazalhaq Farooqi,2022-2023,7,2,2,3,2,,13,23.07,0,0,0,0,0
SRH,KK Ahmed,2021-2021,7,1,0,1,1,1.0,2,50.0,0,0,0,0,0
SRH,Mujeeb Ur Rahman,2021-2021,1,1,1,1,1,,1,100.0,0,0,0,0,0
SRH,S Nadeem,2021-2021,1,1,0,0,0,0.0,1,0.0,0,0,1,0,0
SRH,T Natarajan,2021-2024,39,1,1,0,0,,0,,0,0,0,0,0
SRH,MJ Dagar,2023-2023,3,,,,,,,,,,,,
RR,JC Buttler,2021-2024,49,49,4,1868,124,41.51,1282,145.7,7,8,6,188,84
RR,SV Samson,2021-2024,61,60,9,1835,119,35.98,1248,147.03,1,12,3,161,91
RR,YBK Jaiswal,2021-2024,50,49,2,1567,124,33.34,1023,153.17,2,9,3,196,62
RR,R Parag,2021-2024,51,45,9,927,84,25.75,665,139.39,0,5,1,61,52
RR,SO Hetmyer,2022-2024,41,37,17,726,59,36.3,470,154.46,0,2,1,42,51
RR,D Padikkal,2022-2023,28,28,1,637,54,23.59,506,125.88,0,3,1,71,20
RR,DC Jurel,2023-2024,28,22,7,347,56,23.13,229,151.52,0,2,2,29,16
RR,R Ashwin,2022-2024,45,31,12,344,50,18.1,260,132.3,0,1,3,24,16
RR,S Dube,2021-2021,9,9,1,230,64,28.75,193,119.17,0,1,0,18,10
RR,R Tewatia,2021-2021,14,11,1,155,44,15.5,147,105.44,0,0,0,11,6
RR,E Lewis,2021-2021,5,5,0,151,58,30.2,93,162.36,0,1,0,18,7
RR,DA Miller,2021-2021,9,8,3,124,62,24.8,113,109.73,0,1,1,11,3
RR,R Powell,2024-2024,10,7,1,103,27,17.16,68,151.47,0,0,0,10,6
RR,MK Lomror,2021-2021,4,4,1,94,43,31.33,73,128.76,0,0,0,3,6
RR,TA Boult,2022-2024,42,17,12,70,17,14.0,59,118.64,0,0,1,5,2
RR,CH Morris,2021-2021,11,7,2,67,36,13.4,49,136.73,0,0,2,2,5
RR,T Kohler-Cadmore,2024-2024,4,3,0,48,20,16.0,54,88.88,0,0,0,7,1
RR,LS Livingstone,2021-2021,5,5,0,42,25,8.4,41,102.43,0,0,0,3,1
RR,M Vohra,2021-2021,4,4,0,42,14,10.5,39,107.69,0,0,0,5,2
RR,JD Unadkat,2021-2021,6,3,1,41,24,20.5,29,141.37,0,0,0,3,2
RR,SB Dubey,2024-2024,4,3,1,33,25,16.5,19,173.68,0,0,1,3,2
RR,DJ Mitchell,2022-2022,2,2,0,33,17,16.5,44,75.0,0,0,0,1,0
RR,JDS Neesham,2022-2022,2,2,0,31,17,15.5,27,114.81,0,0,0,3,0
RR,GD Phillips,2021-2021,3,3,1,26,14,13.0,33,78.78,0,0,0,1,2
RR,TK Kotian,2024-2024,1,1,0,24,24,24.0,31,77.41,0,0,0,3,0
