Team,Player,Span,Mat,Inns,Dis,Ct,St,Ct Wk,Ct Fi,MD,D/I
DC,K Kushagra,2024-2024,4,4,1,1,0,0,1,,0.25
DC,Mandeep Singh,2022-2022,3,3,1,1,0,0,1,,0.333
DC,Mustafizur Rahman,2022-2023,10,10,1,1,0,0,1,,0.1
DC,Rasikh Salam,2024-2024,8,8,1,1,0,0,1,,0.125
DC,TL Seifert,2022-2022,2,2,1,1,0,0,1,,0.5
DC,Sumit Kumar,2024-2024,4,4,1,1,0,0,1,,0.25
DC,LB Williams,2024-2024,2,2,1,1,0,0,1,,0.5
DC,KS Bharat,2022-2022,2,2,0,0,0,0,0,0,0.0
DC,RK Bhui,2024-2024,2,2,0,0,0,0,0,0,0.0
DC,TK Curran,2021-2021,3,3,0,0,0,0,0,0,0.0
DC,P Dubey,2023-2023,1,1,0,0,0,0,0,0,0.0
DC,PK Garg,2023-2023,2,2,0,0,0,0,0,0,0.0
DC,LI Meriwala,2021-2021,1,1,0,0,0,0,0,0,0.0
DC,A Mishra,2021-2021,4,4,0,0,0,0,0,0,0.0
DC,KL Nagarkoti,2022-2022,1,1,0,0,0,0,0,0,0.0
DC,AM Rahane,2021-2021,2,2,0,0,0,0,0,0,0.0
DC,JA Richardson,2024-2024,1,1,0,0,0,0,0,0,0.0
DC,CR Woakes,2021-2021,3,3,0,0,0,0,0,0,0.0
GT,WP Saha,2022-2024,37,37,31,25,6,25,0,,0.837
GT,Rashid Khan,2022-2024,45,45,23,23,0,0,23,,0.511
GT,DA Miller,2022-2024,41,41,22,22,0,0,22,,0.536
GT,R Tewatia,2022-2024,45,45,19,19,0,0,19,,0.422
GT,Shubman Gill,2022-2024,45,45,14,14,0,0,14,,0.311
GT,HH Pandya,2022-2023,31,31,12,12,0,0,12,,0.387
GT,MM Sharma,2023-2024,26,26,10,10,0,0,10,,0.384
GT,A Manohar,2022-2024,19,19,9,9,0,0,9,,0.473
GT,MS Wade,2022-2024,12,12,9,8,1,7,1,,0.75
GT,Mohammed Shami,2022-2023,33,33,8,8,0,0,8,,0.242
GT,V Shankar,2022-2024,25,25,8,8,0,0,8,,0.32
GT,Noor Ahmad,2023-2024,23,23,7,7,0,0,7,,0.304
GT,M Shahrukh Khan,2024-2024,7,7,6,6,0,0,6,,0.857
GT,JB Little,2023-2024,11,11,5,5,0,0,5,,0.454
GT,R Sai Kishore,2022-2024,10,10,5,5,0,0,5,,0.5
GT,AS Joseph,2022-2023,16,16,3,3,0,0,3,,0.187
GT,B Sai Sudharsan,2022-2024,25,25,3,3,0,0,3,,0.12
GT,LH Ferguson,2022-2022,13,13,2,2,0,0,2,,0.153
GT,SH Johnson,2024-2024,5,5,2,2,0,0,2,,0.4
GT,DG Nalkande,2022-2024,6,6,2,2,0,0,2,,0.333
GT,MD Shanaka,2023-2023,3,3,2,2,0,0,2,,0.666
GT,Yash Dayal,2022-2023,14,14,2,2,0,0,2,,0.142
GT,PJ Sangwan,2022-2022,3,3,1,1,0,0,1,,0.333
GT,BR Sharath,2024-2024,1,1,1,1,0,1,0,,1.0
GT,KS Williamson,2023-2024,3,3,1,1,0,0,1,,0.333
GT,J Yadav,2023-2023,1,1,1,1,0,0,1,,1.0
GT,UT Yadav,2024-2024,7,7,1,1,0,0,1,,0.142
GT,VR Aaron,2022-2022,2,2,0,0,0,0,0,0,0.0
GT,Azmatullah Omarzai,2024-2024,7,7,0,0,0,0,0,0,0.0
GT,Kartik Tyagi,2024-2024,1,1,0,0,0,0,0,0,0.0
GT,S Sandeep Warrier,2024-2024,5,5,0,0,0,0,0,0,0.0
GT,MJ Suthar,2024-2024,1,1,0,0,0,0,0,0,0.0
LSG,KL Rahul,2022-2024,38,38,30,28,2,14,14,,0.789
LSG,DJ Hooda,2022-2024,38,38,20,20,0,0,20,,0.526
LSG,Q de Kock,2022-2024,30,30,19,17,2,15,2,,0.633
LSG,KH Pandya,2022-2024,43,42,18,18,0,0,18,,0.428
LSG,N Pooran,2023-2024,29,28,16,13,3,5,8,,0.571
LSG,Ravi Bishnoi,2022-2024,43,42,16,16,0,0,16,,0.38
LSG,A Badoni,2022-2024,42,41,14,14,0,0,14,,0.341
LSG,MP Stoinis,2022-2024,40,39,12,12,0,0,12,,0.307
LSG,K Gowtham,2022-2024,12,11,7,7,0,0,7,,0.636
LSG,Naveen-ul-Haq,2023-2024,18,17,6,6,0,0,6,,0.352
LSG,Avesh Khan,2022-2023,22,22,4,4,0,0,4,,0.181
LSG,JO Holder,2022-2022,12,12,4,4,0,0,4,,0.333
LSG,E Lewis,2022-2022,6,6,3,3,0,0,3,,0.5
LSG,D Padikkal,2024-2024,7,7,3,3,0,0,3,,0.428
LSG,MK Pandey,2022-2022,6,6,3,3,0,0,3,,0.5
LSG,PVD Chameera,2022-2022,12,12,2,2,0,0,2,,0.166
LSG,PN Mankad,2023-2023,5,5,2,2,0,0,2,,0.4
LSG,KR Mayers,2023-2023,13,12,2,2,0,0,2,,0.166
LSG,A Mishra,2023-2024,8,8,2,2,0,0,2,,0.25
LSG,Mohsin Khan,2022-2024,24,23,2,2,0,0,2,,0.086
LSG,Yash Thakur,2023-2024,19,19,2,2,0,0,2,,0.105
LSG,MA Wood,2023-2023,4,4,2,2,0,0,2,,0.5
LSG,Arshad Khan,2024-2024,4,4,1,1,0,0,1,,0.25
LSG,AJ Tye,2022-2022,3,3,1,1,0,0,1,,0.333
LSG,MP Yadav,2024-2024,4,4,1,1,0,0,1,,0.25
LSG,MJ Henry,2024-2024,4,4,0,0,0,0,0,0,0.0
LSG,S Joseph,2024-2024,1,1,0,0,0,0,0,0,0.0
LSG,AA Kulkarni,2024-2024,2,2,0,0,0,0,0,0,0.0
LSG,KS Sharma,2022-2023,3,2,0,0,0,0,0,0,0.0
LSG,R Shepherd,2023-2023,1,1,0,0,0,0,0,0,0.0
LSG,M Siddharth,2024-2024,3,3,0,0,0,0,0,0,0.0
LSG,Swapnil Singh,2023-2023,2,2,0,0,0,0,0,0,0.0
LSG,AJ Turner,2024-2024,2,2,0,0,0,0,0,0,0.0
LSG,JD Unadkat,2023-2023,3,3,0,0,0,0,0,0,0.0
LSG,M Vohra,2022-2023,3,2,0,0,0,0,0,0,0.0
LSG,Yudhvir Singh,2023-2024,5,5,0,0,0,0,0,0,0.0
