Player,Span,Mat,Inns,Dis,Ct,St,Ct Wk,Ct Fi,MD,D/I,Team,Start Date,End Date
Naman Dhir,2024-2024,7,7,3,3,0,0,3,2 (2ct 0st),0.428,MI,2013-01-01,2025-03-01
KV Sharma,2017-2017,9,9,3,3,0,0,3,1 (1ct 0st),0.333,MI,2013-01-01,2025-03-01
Arshad Khan,2023-2023,6,6,2,2,0,0,2,1 (1ct 0st),0.333,MI,2013-01-01,2025-03-01
KL Rahul,2022-2024,38,38,30,28,2,14,14,3 (3ct 0st),0.789,LSG,2013-01-01,2025-03-01
DJ Hooda,2022-2024,38,38,20,20,0,0,20,3 (3ct 0st),0.526,LSG,2013-01-01,2025-03-01
Q de Kock,2022-2024,30,30,19,17,2,15,2,3 (2ct 1st),0.633,LSG,2013-01-01,2025-03-01
KH Pandya,2022-2024,43,42,18,18,0,0,18,2 (2ct 0st),0.428,LSG,2013-01-01,2025-03-01
N Pooran,2023-2024,29,28,16,13,3,5,8,3 (3ct 0st),0.571,LSG,2013-01-01,2025-03-01
Ravi Bishnoi,2022-2024,43,42,16,16,0,0,16,2 (2ct 0st),0.38,LSG,2013-01-01,2025-03-01
A Badoni,2022-2024,42,41,14,14,0,0,14,2 (2ct 0st),0.341,LSG,2013-01-01,2025-03-01
MP Stoinis,2022-2024,40,39,12,12,0,0,12,2 (2ct 0st),0.307,LSG,2013-01-01,2025-03-01
K Gowtham,2022-2024,12,11,7,7,0,0,7,2 (2ct 0st),0.636,LSG,2013-01-01,2025-03-01
Naveen-ul-Haq,2023-2024,18,17,6,6,0,0,6,2 (2ct 0st),0.352,LSG,2013-01-01,2025-03-01
Avesh Khan,2022-2023,22,22,4,4,0,0,4,1 (1ct 0st),0.181,LSG,2013-01-01,2025-03-01
JO Holder,2022-2022,12,12,4,4,0,0,4,1 (1ct 0st),0.333,LSG,2013-01-01,2025-03-01
E Lewis,2022-2022,6,6,3,3,0,0,3,1 (1ct 0st),0.5,LSG,2013-01-01,2025-03-01
D Padikkal,2024-2024,7,7,3,3,0,0,3,3 (3ct 0st),0.428,LSG,2013-01-01,2025-03-01
MK Pandey,2022-2022,6,6,3,3,0,0,3,1 (1ct 0st),0.5,LSG,2013-01-01,2025-03-01
PVD Chameera,2022-2022,12,12,2,2,0,0,2,1 (1ct 0st),0.166,LSG,2013-01-01,2025-03-01
PN Mankad,2023-2023,5,5,2,2,0,0,2,1 (1ct 0st),0.4,LSG,2013-01-01,2025-03-01
KR Mayers,2023-2023,13,12,2,2,0,0,2,1 (1ct 0st),0.166,LSG,2013-01-01,2025-03-01
A Mishra,2023-2024,8,8,2,2,0,0,2,1 (1ct 0st),0.25,LSG,2013-01-01,2025-03-01
Mohsin Khan,2022-2024,24,23,2,2,0,0,2,1 (1ct 0st),0.086,LSG,2013-01-01,2025-03-01
Yash Thakur,2023-2024,19,19,2,2,0,0,2,1 (1ct 0st),0.105,LSG,2013-01-01,2025-03-01
MA Wood,2023-2023,4,4,2,2,0,0,2,2 (2ct 0st),0.5,LSG,2013-01-01,2025-03-01
Arshad Khan,2024-2024,4,4,1,1,0,0,1,1 (1ct 0st),0.25,LSG,2013-01-01,2025-03-01
AJ Tye,2022-2022,3,3,1,1,0,0,1,1 (1ct 0st),0.333,LSG,2013-01-01,2025-03-01
MP Yadav,2024-2024,4,4,1,1,0,0,1,1 (1ct 0st),0.25,LSG,2013-01-01,2025-03-01
MJ Henry,2024-2024,4,4,0,0,0,0,0,0,0.0,LSG,2013-01-01,2025-03-01
S Joseph,2024-2024,1,1,0,0,0,0,0,0,0.0,LSG,2013-01-01,2025-03-01
AA Kulkarni,2024-2024,2,2,0,0,0,0,0,0,0.0,LSG,2013-01-01,2025-03-01
KS Sharma,2022-2023,3,2,0,0,0,0,0,0,0.0,LSG,2013-01-01,2025-03-01
R Shepherd,2023-2023,1,1,0,0,0,0,0,0,0.0,LSG,2013-01-01,2025-03-01
M Siddharth,2024-2024,3,3,0,0,0,0,0,0,0.0,LSG,2013-01-01,2025-03-01
Swapnil Singh,2023-2023,2,2,0,0,0,0,0,0,0.0,LSG,2013-01-01,2025-03-01
AJ Turner,2024-2024,2,2,0,0,0,0,0,0,0.0,LSG,2013-01-01,2025-03-01
JD Unadkat,2023-2023,3,3,0,0,0,0,0,0,0.0,LSG,2013-01-01,2025-03-01
M Vohra,2022-2023,3,2,0,0,0,0,0,0,0.0,LSG,2013-01-01,2025-03-01
Yudhvir Singh,2023-2024,5,5,0,0,0,0,0,0,0.0,LSG,2013-01-01,2025-03-01
WP Saha,2022-2024,37,37,31,25,6,25,0,4 (4ct 0st),0.837,GT,2013-01-01,2025-03-01
Rashid Khan,2022-2024,45,45,23,23,0,0,23,3 (3ct 0st),0.511,GT,2013-01-01,2025-03-01
