Player,Batting Form,Bowling Form,Credits,Player Type,Team
Kuldeep Yadav,37.558123188737525,96.84776785714286,8.5,BOWL,DC
Mohit Sharma,15.49454346814301,42.223660714285714,7.5,BOWL,DC
Lokesh Rahul,87.04336545089821,30.0,9.0,WK,DC
Axar Patel,72.81814449180486,39.56428571428572,9.0,ALL,DC
Dushmantha Chameera,29.002901785714286,42.61458333333333,7.0,BOWL,DC
Karun Nair,77.8467963585331,30.0,7.0,BAT,DC
Faf du Plessis,63.08602192191533,30.0,8.5,BAT,DC
Mitchell Starc,21.380520834162667,70.56964285714285,8.5,BOWL,DC
Gurnoor Brar Singh,29.002901785714286,42.61458333333333,5.5,BOWL,GT
Nishant Sindhu,37.54508272058824,37.865624999999994,6.0,ALL,GT
Arshad Khan,23.414843130073855,48.779687499999994,5.5,ALL,GT
Sai Sudharsan,88.39354840582364,30.0,8.0,BAT,GT
Kumar Kushagra,44.13088235294118,29.98676470588235,5.5,WK,GT
Manav Suthar,37.54508272058824,37.865624999999994,6.0,ALL,GT
Sherfane Rutherford,81.34784540211353,30.0,7.0,BAT,GT
Gerald Coetzee,29.002901785714286,42.61458333333333,7.0,BOWL,GT
Anuj Rawat,44.13088235294118,29.98676470588235,6.5,WK,GT
Kulwant Khejroliya,39.65,42.146428571428565,6.0,BOWL,GT
Shubman Gill,76.66416880800352,30.0,9.0,BAT,GT
Ravisrinivasan Sai Kishore,22.150916499639074,89.4265625,7.0,BOWL,GT
Mahipal Lomror,41.762160326086956,30.50828804347826,6.5,BAT,GT
Karim Janat,37.54508272058824,37.865624999999994,6.0,ALL,GT
Washington Sundar,60.80887431944964,56.10513392857143,7.0,ALL,GT
Shahrukh Khan,23.414843130073855,48.779687499999994,7.5,ALL,GT
Mohammed Siraj,39.65,85.90491071428572,8.0,BOWL,GT
Glenn Phillips,41.762160326086956,30.50828804347826,8.0,BAT,GT
Rashid-Khan,61.25952904853652,52.20424107142858,9.0,BOWL,GT
Prasidh Krishna,39.65,95.45379464285713,7.5,BOWL,GT
Jayant Yadav,29.002901785714286,42.61458333333333,6.5,BOWL,GT
Rahul Tewatia,66.21837465234375,30.0,7.0,ALL,GT
Kagiso Rabada,38.925532087377164,42.229017857142864,8.5,BOWL,GT
Jos Buttler,89.63183231590807,30.0,9.0,WK,GT
Ishant Sharma,39.65,37.64866071428572,7.5,BOWL,GT
Harshit Rana,32.407582497034305,85.21339285714285,8.0,BOWL,KKR
Angkrish Raghuvanshi,69.2661526587409,30.0,6.5,BAT,KKR
Vaibhav Arora,9.131903961954198,76.91183035714285,6.5,BOWL,KKR
Luvnith Sisodia,44.13088235294118,29.98676470588235,5.5,WK,KKR
Mayank Markande,29.002901785714286,42.61458333333333,6.0,BOWL,KKR
Chetan Sakariya,29.002901785714286,42.61458333333333,6.0,BOWL,KKR
Rahmanullah Gurbaz,44.13088235294118,29.98676470588235,7.5,WK,KKR
Spencer Johnson,20.455023309222973,29.71919642857143,6.5,BOWL,KKR
Varun Chakravarthy,39.65,92.67656249999999,9.0,BOWL,KKR
Anrich Nortje,22.380620155038756,56.384375000000006,8.0,BOWL,KKR
Anukul Sudhakar Roy,37.54508272058824,37.865624999999994,6.0,ALL,KKR
Ramandeep Singh,43.773236594169724,30.0,7.5,ALL,KKR
Rovman Powell,41.762160326086956,30.50828804347826,7.0,BAT,KKR
Rinku Singh,67.2052631480737,30.0,7.5,BAT,KKR
Venkatesh Iyer,67.92871636807375,30.0,8.0,BAT,KKR
Moeen Ali,19.894189633375262,74.92991071428571,7.0,ALL,KKR
Quinton de Kock,66.78645883093292,30.0,8.0,WK,KKR
Andre Russell,44.13412480693136,55.50089285714286,8.5,ALL,KKR
Sunil Narine,78.55414919262809,81.50513392857142,9.0,ALL,KKR
