Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,,Team,Start Date,End Date
MW Short,1,1,0,27,27,27.0,26,103.84,0,0,0,2,1,,PBKS,2023-05-01,2023-06-01
R Dhawan,3,2,1,19,19,19.0,11,172.72,0,0,0,1,1,,PBKS,2023-05-01,2023-06-01
Harpreet Brar,5,3,1,19,17,9.5,15,126.66,0,0,1,2,1,,PBKS,2023-05-01,2023-06-01
Sikandar Raza,1,1,1,11,11,,7,157.14,0,0,0,0,1,,PBKS,2023-05-01,2023-06-01
RD Chahar,5,1,1,0,0,,0,,0,0,0,0,0,,PBKS,2023-05-01,2023-06-01
PBB Rajapaksa,1,1,0,0,0,0.0,3,0.0,0,0,1,0,0,,PBKS,2023-05-01,2023-06-01
Arshdeep Singh,5,,,,,,,,,,,,,,PBKS,2023-05-01,2023-06-01
NT Ellis,5,,,,,,,,,,,,,,PBKS,2023-05-01,2023-06-01
K Rabada,2,,,,,,,,,,,,,,PBKS,2023-05-01,2023-06-01
SA Yadav,8,8,2,404,103,67.33,220,183.63,1,3,0,42,18,,MI,2023-05-01,2023-06-01
Ishan Kishan,8,7,0,243,75,34.71,154,157.79,0,2,0,28,11,,MI,2023-05-01,2023-06-01
C Green,8,8,4,209,100,52.25,123,169.91,1,0,0,21,11,,MI,2023-05-01,2023-06-01
N Wadhera,8,6,1,174,64,34.8,127,137.0,0,2,0,18,7,,MI,2023-05-01,2023-06-01
RG Sharma,8,8,0,148,56,18.5,111,133.33,0,1,2,15,7,,MI,2023-05-01,2023-06-01
NT Tilak Varma,3,3,1,95,43,47.5,46,206.52,0,0,0,6,8,,MI,2023-05-01,2023-06-01
TH David,8,7,2,73,32,14.6,53,137.73,0,0,1,6,3,,MI,2023-05-01,2023-06-01
Vishnu Vinod,3,3,0,37,30,12.33,31,119.35,0,0,0,2,2,,MI,2023-05-01,2023-06-01
T Stubbs,1,1,0,20,20,20.0,21,95.23,0,0,0,2,0,,MI,2023-05-01,2023-06-01
CJ Jordan,6,2,0,6,4,3.0,12,50.0,0,0,0,0,0,,MI,2023-05-01,2023-06-01
K Kartikeya,5,1,0,6,6,6.0,7,85.71,0,0,0,1,0,,MI,2023-05-01,2023-06-01
JC Archer,2,1,1,3,3,,2,150.0,0,0,0,0,0,,MI,2023-05-01,2023-06-01
JP Behrendorff,6,1,1,3,3,,5,60.0,0,0,0,0,0,,MI,2023-05-01,2023-06-01
PP Chawla,8,2,1,2,2,2.0,4,50.0,0,0,1,0,0,,MI,2023-05-01,2023-06-01
Arshad Khan,2,1,0,1,1,1.0,2,50.0,0,0,0,0,0,,MI,2023-05-01,2023-06-01
HR Shokeen,2,1,1,0,0,,1,0.0,0,0,0,0,0,,MI,2023-05-01,2023-06-01
R Goyal,1,,,,,,,,,,,,,,MI,2023-05-01,2023-06-01
A Madhwal,8,,,,,,,,,,,,,,MI,2023-05-01,2023-06-01
MP Stoinis,7,7,1,192,89,32.0,133,144.36,0,1,1,12,13,,LSG,2023-05-01,2023-06-01
Q de Kock,4,4,0,143,70,35.75,102,140.19,0,1,0,10,8,,LSG,2023-05-01,2023-06-01
N Pooran,7,7,2,142,58,28.4,96,147.91,0,1,1,8,10,,LSG,2023-05-01,2023-06-01
A Badoni,7,5,1,110,59,27.5,83,132.53,0,1,0,5,7,,LSG,2023-05-01,2023-06-01
PN Mankad,4,4,1,93,64,31.0,72,129.16,0,1,1,12,2,,LSG,2023-05-01,2023-06-01
KR Mayers,5,5,0,82,48,16.4,78,105.12,0,0,1,12,2,,LSG,2023-05-01,2023-06-01
KH Pandya,7,6,1,80,49,16.0,74,108.1,0,0,2,5,2,,LSG,2023-05-01,2023-06-01
K Gowtham,4,4,1,37,23,12.33,23,160.86,0,0,0,2,3,,LSG,2023-05-01,2023-06-01
DJ Hooda,4,4,0,32,15,8.0,33,96.96,0,0,0,0,1,,LSG,2023-05-01,2023-06-01
A Mishra,2,1,0,19,19,19.0,30,63.33,0,0,0,2,0,,LSG,2023-05-01,2023-06-01
Naveen-ul-Haq,5,3,2,16,13,16.0,21,76.19,0,0,0,2,0,,LSG,2023-05-01,2023-06-01
Ravi Bishnoi,7,4,1,14,5,4.66,23,60.86,0,0,0,1,0,,LSG,2023-05-01,2023-06-01
KS Sharma,2,2,0,12,9,6.0,21,57.14,0,0,0,0,0,,LSG,2023-05-01,2023-06-01
M Vohra,1,1,0,10,10,10.0,11,90.9,0,0,0,1,0,,LSG,2023-05-01,2023-06-01
Swapnil Singh,2,1,1,2,2,,4,50.0,0,0,0,0,0,,LSG,2023-05-01,2023-06-01
Mohsin Khan,5,1,0,0,0,0.0,7,0.0,0,0,1,0,0,,LSG,2023-05-01,2023-06-01
KL Rahul,1,1,1,0,0,,3,0.0,0,0,0,0,0,,LSG,2023-05-01,2023-06-01
Avesh Khan,2,,,,,,,,,,,,,,LSG,2023-05-01,2023-06-01
Yash Thakur,6,,,,,,,,,,,,,,LSG,2023-05-01,2023-06-01
Yudhvir Singh,1,,,,,,,,,,,,,,LSG,2023-05-01,2023-06-01
Shubman Gill,9,9,2,557,129,79.57,330,168.78,3,1,0,45,27,,GT,2023-05-01,2023-06-01
WP Saha,9,9,1,220,81,27.5,171,128.65,0,2,2,27,5,,GT,2023-05-01,2023-06-01
HH Pandya,9,8,4,192,59,48.0,124,154.83,0,1,0,16,9,,GT,2023-05-01,2023-06-01
B Sai Sudharsan,3,3,0,186,96,62.0,114,163.15,0,1,0,19,8,,GT,2023-05-01,2023-06-01
Rashid Khan,9,6,3,117,79,39.0,55,212.72,0,1,2,7,12,,GT,2023-05-01,2023-06-01
V Shankar,8,4,0,102,53,25.5,68,150.0,0,1,0,14,3,,GT,2023-05-01,2023-06-01
DA Miller,9,6,1,79,41,15.8,59,133.89,0,0,1,8,3,,GT,2023-05-01,2023-06-01
R Tewatia,9,5,1,44,20,11.0,33,133.33,0,0,0,1,3,,GT,2023-05-01,2023-06-01
A Manohar,4,2,0,28,26,14.0,36,77.77,0,0,0,0,1,,GT,2023-05-01,2023-06-01
MD Shanaka,3,3,1,26,17,13.0,26,100.0,0,0,1,2,1,,GT,2023-05-01,2023-06-01
Noor Ahmad,9,3,1,8,7,4.0,9,88.88,0,0,1,1,0,,GT,2023-05-01,2023-06-01
AS Joseph,2,1,1,7,7,,12,58.33,0,0,0,1,0,,GT,2023-05-01,2023-06-01
Mohammed Shami,9,2,0,5,5,2.5,6,83.33,0,0,1,1,0,,GT,2023-05-01,2023-06-01
DG Nalkande,1,1,0,0,0,0.0,1,0.0,0,0,1,0,0,,GT,2023-05-01,2023-06-01
MM Sharma,9,1,1,0,0,,1,0.0,0,0,0,0,0,,GT,2023-05-01,2023-06-01
JB Little,4,,,,,,,,,,,,,,GT,2023-05-01,2023-06-01
Yash Dayal,2,,,,,,,,,,,,,,GT,2023-05-01,2023-06-01
DA Warner,6,6,0,210,86,35.0,134,156.71,0,2,1,25,9,,DC,2023-05-01,2023-06-01
RR Rossouw,6,6,2,165,82,41.25,108,152.77,0,1,1,12,10,,DC,2023-05-01,2023-06-01
PD Salt,6,6,1,154,87,30.8,94,163.82,0,1,1,14,10,,DC,2023-05-01,2023-06-01
Aman Hakim Khan,6,4,1,76,51,25.33,74,102.7,0,1,0,5,4,,DC,2023-05-01,2023-06-01
AR Patel,6,5,1,72,27,18.0,55,130.9,0,0,0,5,4,,DC,2023-05-01,2023-06-01
PP Shaw,2,2,0,59,54,29.5,45,131.11,0,1,0,8,1,,DC,2023-05-01,2023-06-01
MR Marsh,3,3,0,34,26,11.33,25,136.0,0,0,0,4,1,,DC,2023-05-01,2023-06-01
RV Patel,3,2,0,33,23,16.5,29,113.79,0,0,0,2,1,,DC,2023-05-01,2023-06-01
MK Pandey,4,3,0,28,27,9.33,36,77.77,0,0,1,1,2,,DC,2023-05-01,2023-06-01
Lalit Yadav,2,2,0,18,12,9.0,17,105.88,0,0,0,3,0,,DC,2023-05-01,2023-06-01
P Dubey,1,1,0,16,16,16.0,20,80.0,0,0,0,2,0,,DC,2023-05-01,2023-06-01
YV Dhull,2,1,0,13,13,13.0,15,86.66,0,0,0,1,0,,DC,2023-05-01,2023-06-01
PK Garg,1,1,0,10,10,10.0,14,71.42,0,0,0,0,0,,DC,2023-05-01,2023-06-01
Kuldeep Yadav,6,4,3,10,10,10.0,20,50.0,0,0,1,0,0,,DC,2023-05-01,2023-06-01
Mukesh Kumar,3,1,1,6,6,,7,85.71,0,0,0,0,0,,DC,2023-05-01,2023-06-01
A Nortje,3,2,2,3,3,,7,42.85,0,0,0,0,0,,DC,2023-05-01,2023-06-01
C Sakariya,1,1,1,0,0,,2,0.0,0,0,0,0,0,,DC,2023-05-01,2023-06-01
KK Ahmed,6,,,,,,,,,,,,,,DC,2023-05-01,2023-06-01
I Sharma,5,,,,,,,,,,,,,,DC,2023-05-01,2023-06-01
DP Conway,7,6,0,258,87,43.0,194,132.98,0,1,0,27,5,,CSK,2023-05-01,2023-06-01
RD Gaikwad,7,6,0,236,79,39.33,157,150.31,0,2,0,23,11,,CSK,2023-05-01,2023-06-01
S Dube,7,6,3,154,48,51.33,97,158.76,0,0,0,1,14,,CSK,2023-05-01,2023-06-01
AM Rahane,7,5,0,102,27,20.4,71,143.66,0,0,0,6,5,,CSK,2023-05-01,2023-06-01
RA Jadeja,7,5,2,98,22,32.66,69,142.02,0,0,0,7,4,,CSK,2023-05-01,2023-06-01
AT Rayudu,7,5,0,75,23,15.0,52,144.23,0,0,0,3,5,,CSK,2023-05-01,2023-06-01
MS Dhoni,7,6,3,30,20,10.0,22,136.36,0,0,1,1,2,,CSK,2023-05-01,2023-06-01
MM Ali,7,3,1,17,9,8.5,18,94.44,0,0,0,0,1,,CSK,2023-05-01,2023-06-01
DL Chahar,7,1,1,1,1,,2,50.0,0,0,0,0,0,,CSK,2023-05-01,2023-06-01
TU Deshpande,7,1,1,0,0,,1,0.0,0,0,0,0,0,,CSK,2023-05-01,2023-06-01
M Pathirana,7,,,,,,,,,,,,,,CSK,2023-05-01,2023-06-01
M Theekshana,7,,,,,,,,,,,,,,CSK,2023-05-01,2023-06-01
YBK Jaiswal,5,5,1,197,98,49.25,114,172.8,0,2,1,26,8,,RR,2023-05-01,2023-06-01
SV Samson,5,5,2,150,66,50.0,95,157.89,0,1,0,10,11,,RR,2023-05-01,2023-06-01
JC Buttler,5,5,0,103,95,20.6,74,139.18,0,1,3,12,4,,RR,2023-05-01,2023-06-01
SO Hetmyer,5,4,1,95,46,31.66,65,146.15,0,0,0,5,7,,RR,2023-05-01,2023-06-01
D Padikkal,3,3,0,67,51,22.33,46,145.65,0,1,0,7,3,,RR,2023-05-01,2023-06-01
R Parag,2,2,0,24,20,12.0,18,133.33,0,0,0,1,2,,RR,2023-05-01,2023-06-01
DC Jurel,5,3,1,20,10,10.0,19,105.26,0,0,0,1,1,,RR,2023-05-01,2023-06-01
TA Boult,3,2,1,16,15,16.0,13,123.07,0,0,0,1,1,,RR,2023-05-01,2023-06-01
JE Root,3,1,0,10,10,10.0,15,66.66,0,0,0,1,0,,RR,2023-05-01,2023-06-01
A Zampa,3,2,0,9,7,4.5,15,60.0,0,0,0,0,0,,RR,2023-05-01,2023-06-01
R Ashwin,4,2,0,2,2,1.0,6,33.33,0,0,1,0,0,,RR,2023-05-01,2023-06-01
Sandeep Sharma,5,2,2,2,2,,6,33.33,0,0,0,0,0,,RR,2023-05-01,2023-06-01
KM Asif,2,1,0,0,0,0.0,2,0.0,0,0,1,0,0,,RR,2023-05-01,2023-06-01
M Ashwin,1,,,,,,,,,,,,,,RR,2023-05-01,2023-06-01
YS Chahal,5,,,,,,,,,,,,,,RR,2023-05-01,2023-06-01
OC McCoy,1,,,,,,,,,,,,,,RR,2023-05-01,2023-06-01
NA Saini,1,,,,,,,,,,,,,,RR,2023-05-01,2023-06-01
K Yadav,1,,,,,,,,,,,,,,RR,2023-05-01,2023-06-01
RK Singh,5,5,2,204,67,68.0,139,146.76,0,2,0,16,10,,KKR,2023-05-01,2023-06-01
N Rana,5,5,1,180,57,45.0,140,128.57,0,2,0,18,5,,KKR,2023-05-01,2023-06-01
JJ Roy,5,5,0,125,45,25.0,94,132.97,0,0,0,22,1,,KKR,2023-05-01,2023-06-01
VR Iyer,5,5,0,108,57,21.6,78,138.46,0,1,0,8,5,,KKR,2023-05-01,2023-06-01
AD Russell,5,5,1,85,42,21.25,59,144.06,0,0,0,4,7,,KKR,2023-05-01,2023-06-01
Rahmanullah Gurbaz,5,5,0,44,18,8.8,44,100.0,0,0,1,2,3,,KKR,2023-05-01,2023-06-01
AS Roy,2,2,2,19,13,,13,146.15,0,0,0,2,0,,KKR,2023-05-01,2023-06-01
SN Thakur,5,4,1,12,8,4.0,15,80.0,0,0,0,1,0,,KKR,2023-05-01,2023-06-01
SP Narine,5,3,0,8,6,2.66,9,88.88,0,0,0,1,0,,KKR,2023-05-01,2023-06-01
VG Arora,4,2,2,3,2,,2,150.0,0,0,0,0,0,,KKR,2023-05-01,2023-06-01
Harshit Rana,5,1,0,0,0,0.0,1,0.0,0,0,1,0,0,,KKR,2023-05-01,2023-06-01
Suyash Sharma,4,,,,,,,,,,,,,,KKR,2023-05-01,2023-06-01
CV Varun,5,,,,,,,,,,,,,,KKR,2023-05-01,2023-06-01
V Kohli,3,3,1,181,83,90.5,128,141.4,0,2,0,15,7,,RCB,2024-03-01,2024-04-01
KD Karthik,3,3,2,86,38,86.0,44,195.45,0,0,0,6,7,,RCB,2024-03-01,2024-04-01
Anuj Rawat,3,3,0,62,48,20.66,42,147.61,0,0,0,5,3,,RCB,2024-03-01,2024-04-01
C Green,3,3,0,54,33,18.0,48,112.5,0,0,0,5,2,,RCB,2024-03-01,2024-04-01
F du Plessis,3,3,0,46,35,15.33,36,127.77,0,0,0,8,1,,RCB,2024-03-01,2024-04-01
GJ Maxwell,3,3,0,31,28,10.33,25,124.0,0,0,1,3,1,,RCB,2024-03-01,2024-04-01
RM Patidar,3,3,0,21,18,7.0,25,84.0,0,0,1,1,1,,RCB,2024-03-01,2024-04-01
MK Lomror,1,1,1,17,17,,8,212.5,0,0,0,2,1,,RCB,2024-03-01,2024-04-01
MJ Dagar,3,,,,,,,,,,,,,,RCB,2024-03-01,2024-04-01
AS Joseph,3,,,,,,,,,,,,,,RCB,2024-03-01,2024-04-01
Mohammed Siraj,3,,,,,,,,,,,,,,RCB,2024-03-01,2024-04-01
KV Sharma,1,,,,,,,,,,,,,,RCB,2024-03-01,2024-04-01
V Vyshak,1,,,,,,,,,,,,,,RCB,2024-03-01,2024-04-01
Yash Dayal,3,,,,,,,,,,,,,,RCB,2024-03-01,2024-04-01
S Dhawan,3,3,0,137,70,45.66,103,133.0,0,1,0,16,4,,PBKS,2024-03-01,2024-04-01
SM Curran,3,3,0,86,63,28.66,65,132.3,0,1,1,9,1,,PBKS,2024-03-01,2024-04-01
LS Livingstone,3,3,2,83,38,83.0,51,162.74,0,0,0,5,6,,PBKS,2024-03-01,2024-04-01
Prabhsimran Singh,3,3,0,70,26,23.33,41,170.73,0,0,0,8,4,,PBKS,2024-03-01,2024-04-01
JM Bairstow,3,3,0,59,42,19.66,38,155.26,0,0,0,7,3,,PBKS,2024-03-01,2024-04-01
JM Sharma,3,3,0,42,27,14.0,38,110.52,0,0,0,3,2,,PBKS,2024-03-01,2024-04-01
Shashank Singh,3,3,2,30,21,30.0,16,187.5,0,0,1,2,2,,PBKS,2024-03-01,2024-04-01
Harpreet Brar,3,2,2,4,2,,4,100.0,0,0,0,0,0,,PBKS,2024-03-01,2024-04-01
Arshdeep Singh,3,,,,,,,,,,,,,,PBKS,2024-03-01,2024-04-01
RD Chahar,3,,,,,,,,,,,,,,PBKS,2024-03-01,2024-04-01
HV Patel,3,,,,,,,,,,,,,,PBKS,2024-03-01,2024-04-01
K Rabada,3,,,,,,,,,,,,,,PBKS,2024-03-01,2024-04-01
NT Tilak Varma,3,3,0,121,64,40.33,82,147.56,0,1,0,3,9,,MI,2024-03-01,2024-04-01
TH David,3,3,1,70,42,35.0,56,125.0,0,0,0,4,3,,MI,2024-03-01,2024-04-01
HH Pandya,3,3,0,69,34,23.0,45,153.33,0,0,0,8,2,,MI,2024-03-01,2024-04-01
RG Sharma,3,3,0,69,43,23.0,42,164.28,0,0,1,8,4,,MI,2024-03-01,2024-04-01
Ishan Kishan,3,3,0,50,34,16.66,31,161.29,0,0,1,4,5,,MI,2024-03-01,2024-04-01
Naman Dhir,3,3,0,50,30,16.66,25,200.0,0,0,1,5,3,,MI,2024-03-01,2024-04-01
D Brevis,2,2,0,46,46,23.0,39,117.94,0,0,1,2,3,,MI,2024-03-01,2024-04-01
R Shepherd,1,1,1,15,15,,6,250.0,0,0,0,2,1,,MI,2024-03-01,2024-04-01
JJ Bumrah,3,2,2,9,8,,10,90.0,0,0,0,1,0,,MI,2024-03-01,2024-04-01
G Coetzee,3,2,0,5,4,2.5,12,41.66,0,0,0,0,0,,MI,2024-03-01,2024-04-01
A Madhwal,1,1,1,4,4,,5,80.0,0,0,0,0,0,,MI,2024-03-01,2024-04-01
PP Chawla,3,2,0,3,3,1.5,7,42.85,0,0,1,0,0,,MI,2024-03-01,2024-04-01
SZ Mulani,2,1,1,1,1,,1,100.0,0,0,0,0,0,,MI,2024-03-01,2024-04-01
KT Maphaka,2,,,,,,,,,,,,,,MI,2024-03-01,2024-04-01
L Wood,1,,,,,,,,,,,,,,MI,2024-03-01,2024-04-01
N Pooran,2,2,1,106,64,106.0,62,170.96,0,1,0,7,7,,LSG,2024-03-01,2024-04-01
KL Rahul,2,2,0,73,58,36.5,53,137.73,0,1,0,5,3,,LSG,2024-03-01,2024-04-01
Q de Kock,2,2,0,58,54,29.0,43,134.88,0,1,0,6,2,,LSG,2024-03-01,2024-04-01
KH Pandya,2,2,2,46,43,,27,170.37,0,0,0,4,2,,LSG,2024-03-01,2024-04-01
DJ Hooda,1,1,0,26,26,26.0,13,200.0,0,0,0,2,2,,LSG,2024-03-01,2024-04-01
MP Stoinis,2,2,0,22,19,11.0,16,137.5,0,0,0,0,2,,LSG,2024-03-01,2024-04-01
A Badoni,2,2,0,9,8,4.5,15,60.0,0,0,0,0,0,,LSG,2024-03-01,2024-04-01
D Padikkal,2,2,0,9,9,4.5,9,100.0,0,0,1,2,0,,LSG,2024-03-01,2024-04-01
Mohsin Khan,2,1,0,2,2,2.0,1,200.0,0,0,0,0,0,,LSG,2024-03-01,2024-04-01
Naveen-ul-Haq,2,1,1,0,0,,0,,0,0,0,0,0,,LSG,2024-03-01,2024-04-01
Ravi Bishnoi,2,1,0,0,0,0.0,1,0.0,0,0,1,0,0,,LSG,2024-03-01,2024-04-01
M Siddharth,1,,,,,,,,,,,,,,LSG,2024-03-01,2024-04-01
Yash Thakur,1,,,,,,,,,,,,,,LSG,2024-03-01,2024-04-01
MP Yadav,1,,,,,,,,,,,,,,LSG,2024-03-01,2024-04-01
B Sai Sudharsan,3,3,0,127,45,42.33,106,119.81,0,0,0,10,2,,GT,2024-03-01,2024-04-01
DA Miller,3,3,1,77,44,38.5,54,142.59,0,0,0,8,2,,GT,2024-03-01,2024-04-01
Shubman Gill,3,3,0,75,36,25.0,55,136.36,0,0,0,5,3,,GT,2024-03-01,2024-04-01
WP Saha,3,3,0,65,25,21.66,45,144.44,0,0,0,9,2,,GT,2024-03-01,2024-04-01
V Shankar,3,3,2,32,14,32.0,28,114.28,0,0,0,2,1,,GT,2024-03-01,2024-04-01
Azmatullah Omarzai,3,2,0,28,17,14.0,21,133.33,0,0,0,2,1,,GT,2024-03-01,2024-04-01
R Tewatia,3,2,0,28,22,14.0,26,107.69,0,0,0,3,1,,GT,2024-03-01,2024-04-01
UT Yadav,3,1,1,10,10,,11,90.9,0,0,0,0,1,,GT,2024-03-01,2024-04-01
SH Johnson,2,1,1,5,5,,5,100.0,0,0,0,1,0,,GT,2024-03-01,2024-04-01
Rashid Khan,3,2,1,5,4,5.0,5,100.0,0,0,0,0,0,,GT,2024-03-01,2024-04-01
DG Nalkande,1,,,,,,,,,,,,,,GT,2024-03-01,2024-04-01
Noor Ahmad,1,,,,,,,,,,,,,,GT,2024-03-01,2024-04-01
R Sai Kishore,2,,,,,,,,,,,,,,GT,2024-03-01,2024-04-01
MM Sharma,3,,,,,,,,,,,,,,GT,2024-03-01,2024-04-01
DA Warner,3,3,0,130,52,43.33,90,144.44,0,1,0,13,8,,DC,2024-03-01,2024-04-01
RR Pant,3,3,0,97,51,32.33,71,136.61,0,1,0,8,4,,DC,2024-03-01,2024-04-01
MR Marsh,3,3,0,61,23,20.33,36,169.44,0,0,0,9,3,,DC,2024-03-01,2024-04-01
Abishek Porel,3,3,2,50,32,50.0,26,192.3,0,0,0,5,2,,DC,2024-03-01,2024-04-01
T Stubbs,3,3,1,49,44,24.5,33,148.48,0,0,1,2,3,,DC,2024-03-01,2024-04-01
AR Patel,3,3,2,43,21,43.0,34,126.47,0,0,0,3,1,,DC,2024-03-01,2024-04-01
PP Shaw,1,1,0,43,43,43.0,27,159.25,0,0,0,4,2,,DC,2024-03-01,2024-04-01
SD Hope,1,1,0,33,33,33.0,25,132.0,0,0,0,2,2,,DC,2024-03-01,2024-04-01
RK Bhui,2,2,0,3,3,1.5,9,33.33,0,0,1,0,0,,DC,2024-03-01,2024-04-01
Sumit Kumar,2,1,0,2,2,2.0,9,22.22,0,0,0,0,0,,DC,2024-03-01,2024-04-01
Kuldeep Yadav,2,1,0,1,1,1.0,2,50.0,0,0,0,0,0,,DC,2024-03-01,2024-04-01
KK Ahmed,3,,,,,,,,,,,,,,DC,2024-03-01,2024-04-01
Mukesh Kumar,2,,,,,,,,,,,,,,DC,2024-03-01,2024-04-01
A Nortje,2,,,,,,,,,,,,,,DC,2024-03-01,2024-04-01
Rasikh Salam,1,,,,,,,,,,,,,,DC,2024-03-01,2024-04-01
I Sharma,2,,,,,,,,,,,,,,DC,2024-03-01,2024-04-01
S Dube,3,3,1,103,51,51.5,68,151.47,0,1,0,7,6,,CSK,2024-03-01,2024-04-01
R Ravindra,3,3,0,85,46,28.33,47,180.85,0,0,0,9,6,,CSK,2024-03-01,2024-04-01
AM Rahane,3,3,0,84,45,28.0,61,137.7,0,0,0,5,4,,CSK,2024-03-01,2024-04-01
DJ Mitchell,3,3,1,80,34,40.0,64,125.0,0,0,0,3,4,,CSK,2024-03-01,2024-04-01
RD Gaikwad,3,3,0,62,46,20.66,53,116.98,0,0,0,8,1,,CSK,2024-03-01,2024-04-01
RA Jadeja,3,3,2,53,25,53.0,37,143.24,0,0,0,3,1,,CSK,2024-03-01,2024-04-01
MS Dhoni,3,1,1,37,37,,16,231.25,0,0,0,4,3,,CSK,2024-03-01,2024-04-01
Sameer Rizvi,3,2,0,14,14,7.0,7,200.0,0,0,1,0,2,,CSK,2024-03-01,2024-04-01
DL Chahar,3,,,,,,,,,,,,,,CSK,2024-03-01,2024-04-01
TU Deshpande,3,,,,,,,,,,,,,,CSK,2024-03-01,2024-04-01
Mustafizur Rahman,3,,,,,,,,,,,,,,CSK,2024-03-01,2024-04-01
M Pathirana,2,,,,,,,,,,,,,,CSK,2024-03-01,2024-04-01
M Theekshana,1,,,,,,,,,,,,,,CSK,2024-03-01,2024-04-01
R Parag,3,3,2,181,84,181.0,113,160.17,0,2,0,13,12,,RR,2024-03-01,2024-04-01
SV Samson,3,3,1,109,82,54.5,76,143.42,0,1,0,9,6,,RR,2024-03-01,2024-04-01
R Ashwin,3,2,0,45,29,22.5,35,128.57,0,0,0,1,3,,RR,2024-03-01,2024-04-01
DC Jurel,3,2,1,40,20,40.0,24,166.66,0,0,0,4,1,,RR,2024-03-01,2024-04-01
YBK Jaiswal,3,3,0,39,24,13.0,25,156.0,0,0,0,6,1,,RR,2024-03-01,2024-04-01
JC Buttler,3,3,0,35,13,11.66,41,85.36,0,0,0,4,0,,RR,2024-03-01,2024-04-01
SO Hetmyer,3,2,1,19,14,19.0,14,135.71,0,0,0,1,1,,RR,2024-03-01,2024-04-01
SB Dubey,1,1,1,8,8,,6,133.33,0,0,0,1,0,,RR,2024-03-01,2024-04-01
Avesh Khan,3,,,,,,,,,,,,,,RR,2024-03-01,2024-04-01
TA Boult,3,,,,,,,,,,,,,,RR,2024-03-01,2024-04-01
N Burger,3,,,,,,,,,,,,,,RR,2024-03-01,2024-04-01
YS Chahal,3,,,,,,,,,,,,,,RR,2024-03-01,2024-04-01
Sandeep Sharma,2,,,,,,,,,,,,,,RR,2024-03-01,2024-04-01
PD Salt,2,2,0,84,54,42.0,60,140.0,0,1,0,5,5,,KKR,2024-03-01,2024-04-01
AD Russell,2,1,1,64,64,,25,256.0,0,1,0,3,7,,KKR,2024-03-01,2024-04-01
VR Iyer,2,2,0,57,50,28.5,35,162.85,0,1,0,4,4,,KKR,2024-03-01,2024-04-01
SP Narine,2,2,0,49,47,24.5,26,188.46,0,0,0,2,5,,KKR,2024-03-01,2024-04-01
SS Iyer,2,2,1,39,39,39.0,26,150.0,0,0,1,2,2,,KKR,2024-03-01,2024-04-01
Ramandeep Singh,2,1,0,35,35,35.0,17,205.88,0,0,0,1,4,,KKR,2024-03-01,2024-04-01
RK Singh,2,2,1,28,23,28.0,20,140.0,0,0,0,3,0,,KKR,2024-03-01,2024-04-01
N Rana,1,1,0,9,9,9.0,11,81.81,0,0,0,1,0,,KKR,2024-03-01,2024-04-01
MA Starc,2,1,1,6,6,,3,200.0,0,0,0,1,0,,KKR,2024-03-01,2024-04-01
Harshit Rana,2,,,,,,,,,,,,,,KKR,2024-03-01,2024-04-01
A Raghuvanshi,1,,,,,,,,,,,,,,KKR,2024-03-01,2024-04-01
AS Roy,1,,,,,,,,,,,,,,KKR,2024-03-01,2024-04-01
Suyash Sharma,1,,,,,,,,,,,,,,KKR,2024-03-01,2024-04-01
CV Varun,2,,,,,,,,,,,,,,KKR,2024-03-01,2024-04-01
V Kohli,7,7,2,319,113,63.8,211,151.18,1,2,0,31,13,,RCB,2024-04-01,2024-05-01
F du Plessis,7,7,0,242,62,34.57,145,166.89,0,2,0,21,13,,RCB,2024-04-01,2024-05-01
RM Patidar,7,5,0,190,52,38.0,95,200.0,0,3,0,10,17,,RCB,2024-04-01,2024-05-01
WG Jacks,5,5,1,176,100,44.0,92,191.3,1,1,0,12,15,,RCB,2024-04-01,2024-05-01
KD Karthik,7,5,1,176,83,44.0,90,195.55,0,2,0,15,12,,RCB,2024-04-01,2024-05-01
MK Lomror,5,5,0,63,33,12.6,32,196.87,0,0,1,5,5,,RCB,2024-04-01,2024-05-01
C Green,5,4,2,57,37,28.5,39,146.15,0,0,0,6,1,,RCB,2024-04-01,2024-05-01
Anuj Rawat,2,2,1,36,25,36.0,35,102.85,0,0,0,5,0,,RCB,2024-04-01,2024-05-01
SS Prabhudessai,1,1,0,24,24,24.0,18,133.33,0,0,0,3,0,,RCB,2024-04-01,2024-05-01
KV Sharma,3,1,0,20,20,20.0,7,285.71,0,0,0,0,3,,RCB,2024-04-01,2024-05-01
SD Chauhan,3,3,0,18,9,6.0,15,120.0,0,0,1,1,1,,RCB,2024-04-01,2024-05-01
Mohammed Siraj,6,2,1,12,12,12.0,8,150.0,0,0,0,0,2,,RCB,2024-04-01,2024-05-01
Swapnil Singh,2,1,0,12,12,12.0,6,200.0,0,0,0,1,1,,RCB,2024-04-01,2024-05-01
RJW Topley,4,1,1,3,3,,6,50.0,0,0,0,0,0,,RCB,2024-04-01,2024-05-01
Akash Deep,1,1,1,2,2,,2,100.0,0,0,0,0,0,,RCB,2024-04-01,2024-05-01
LH Ferguson,3,1,0,1,1,1.0,1,100.0,0,0,0,0,0,,RCB,2024-04-01,2024-05-01
