Player,Mat,Inns,Dis,Ct,St,Ct Wk,Ct Fi,MD,D/I,,Team,Start Date,End Date
K Rabada,2,2,0,0,0,0,0,0,0.0,,PBKS,2023-05-01,2023-06-01
PBB Rajapaksa,1,1,0,0,0,0,0,0,0.0,,PBKS,2023-05-01,2023-06-01
JM Sharma,5,5,0,0,0,0,0,0,0.0,,PBKS,2023-05-01,2023-06-01
Ishan Kishan,8,8,10,8,2,8,0,2 (2ct 0st),1.25,,MI,2023-05-01,2023-06-01
TH David,8,8,3,3,0,0,3,1 (1ct 0st),0.375,,MI,2023-05-01,2023-06-01
C Green,8,8,3,3,0,0,3,1 (1ct 0st),0.375,,MI,2023-05-01,2023-06-01
N Wadhera,8,8,2,2,0,0,2,2 (2ct 0st),0.25,,MI,2023-05-01,2023-06-01
R Goyal,1,1,1,1,0,0,1,1 (1ct 0st),1.0,,MI,2023-05-01,2023-06-01
CJ Jordan,6,6,1,1,0,0,1,1 (1ct 0st),0.166,,MI,2023-05-01,2023-06-01
K Kartikeya,5,5,1,1,0,0,1,1 (1ct 0st),0.2,,MI,2023-05-01,2023-06-01
HR Shokeen,2,2,1,1,0,0,1,1 (1ct 0st),0.5,,MI,2023-05-01,2023-06-01
JC Archer,2,2,0,0,0,0,0,0,0.0,,MI,2023-05-01,2023-06-01
Arshad Khan,2,2,0,0,0,0,0,0,0.0,,MI,2023-05-01,2023-06-01
JP Behrendorff,6,6,0,0,0,0,0,0,0.0,,MI,2023-05-01,2023-06-01
PP Chawla,8,8,0,0,0,0,0,0,0.0,,MI,2023-05-01,2023-06-01
A Madhwal,8,8,0,0,0,0,0,0,0.0,,MI,2023-05-01,2023-06-01
RG Sharma,8,8,0,0,0,0,0,0,0.0,,MI,2023-05-01,2023-06-01
T Stubbs,1,1,0,0,0,0,0,0,0.0,,MI,2023-05-01,2023-06-01
NT Tilak Varma,3,3,0,0,0,0,0,0,0.0,,MI,2023-05-01,2023-06-01
Vishnu Vinod,3,3,0,0,0,0,0,0,0.0,,MI,2023-05-01,2023-06-01
SA Yadav,8,8,0,0,0,0,0,0,0.0,,MI,2023-05-01,2023-06-01
DJ Hooda,4,4,4,4,0,0,4,3 (3ct 0st),1.0,,LSG,2023-05-01,2023-06-01
N Pooran,7,6,4,3,1,2,1,2 (1ct 1st),0.666,,LSG,2023-05-01,2023-06-01
Q de Kock,4,4,3,2,1,2,0,3 (2ct 1st),0.75,,LSG,2023-05-01,2023-06-01
K Gowtham,4,3,3,3,0,0,3,2 (2ct 0st),1.0,,LSG,2023-05-01,2023-06-01
KH Pandya,7,6,3,3,0,0,3,1 (1ct 0st),0.5,,LSG,2023-05-01,2023-06-01
Ravi Bishnoi,7,6,3,3,0,0,3,2 (2ct 0st),0.5,,LSG,2023-05-01,2023-06-01
PN Mankad,4,4,2,2,0,0,2,1 (1ct 0st),0.5,,LSG,2023-05-01,2023-06-01
A Badoni,7,6,1,1,0,0,1,1 (1ct 0st),0.166,,LSG,2023-05-01,2023-06-01
KR Mayers,5,4,1,1,0,0,1,1 (1ct 0st),0.25,,LSG,2023-05-01,2023-06-01
A Mishra,2,2,1,1,0,0,1,1 (1ct 0st),0.5,,LSG,2023-05-01,2023-06-01
Naveen-ul-Haq,5,4,1,1,0,0,1,1 (1ct 0st),0.25,,LSG,2023-05-01,2023-06-01
Avesh Khan,2,2,0,0,0,0,0,0,0.0,,LSG,2023-05-01,2023-06-01
Mohsin Khan,5,4,0,0,0,0,0,0,0.0,,LSG,2023-05-01,2023-06-01
KL Rahul,1,1,0,0,0,0,0,0,0.0,,LSG,2023-05-01,2023-06-01
KS Sharma,2,1,0,0,0,0,0,0,0.0,,LSG,2023-05-01,2023-06-01
MP Stoinis,7,6,0,0,0,0,0,0,0.0,,LSG,2023-05-01,2023-06-01
Swapnil Singh,2,2,0,0,0,0,0,0,0.0,,LSG,2023-05-01,2023-06-01
Yash Thakur,6,6,0,0,0,0,0,0,0.0,,LSG,2023-05-01,2023-06-01
Yudhvir Singh,1,1,0,0,0,0,0,0,0.0,,LSG,2023-05-01,2023-06-01
M Vohra,1,,,,,,,,,,LSG,2023-05-01,2023-06-01
DA Miller,9,9,7,7,0,0,7,2 (2ct 0st),0.777,,GT,2023-05-01,2023-06-01
Rashid Khan,9,9,7,7,0,0,7,2 (2ct 0st),0.777,,GT,2023-05-01,2023-06-01
WP Saha,9,9,7,6,1,6,0,3 (3ct 0st),0.777,,GT,2023-05-01,2023-06-01
HH Pandya,9,9,5,5,0,0,5,1 (1ct 0st),0.555,,GT,2023-05-01,2023-06-01
R Tewatia,9,9,4,4,0,0,4,1 (1ct 0st),0.444,,GT,2023-05-01,2023-06-01
Mohammed Shami,9,9,3,3,0,0,3,2 (2ct 0st),0.333,,GT,2023-05-01,2023-06-01
MM Sharma,9,9,3,3,0,0,3,2 (2ct 0st),0.333,,GT,2023-05-01,2023-06-01
A Manohar,4,4,2,2,0,0,2,1 (1ct 0st),0.5,,GT,2023-05-01,2023-06-01
B Sai Sudharsan,3,3,2,2,0,0,2,1 (1ct 0st),0.666,,GT,2023-05-01,2023-06-01
MD Shanaka,3,3,2,2,0,0,2,1 (1ct 0st),0.666,,GT,2023-05-01,2023-06-01
JB Little,4,4,1,1,0,0,1,1 (1ct 0st),0.25,,GT,2023-05-01,2023-06-01
Noor Ahmad,9,9,1,1,0,0,1,1 (1ct 0st),0.111,,GT,2023-05-01,2023-06-01
V Shankar,8,8,1,1,0,0,1,1 (1ct 0st),0.125,,GT,2023-05-01,2023-06-01
Shubman Gill,9,9,1,1,0,0,1,1 (1ct 0st),0.111,,GT,2023-05-01,2023-06-01
AS Joseph,2,2,0,0,0,0,0,0,0.0,,GT,2023-05-01,2023-06-01
DG Nalkande,1,1,0,0,0,0,0,0,0.0,,GT,2023-05-01,2023-06-01
Yash Dayal,2,2,0,0,0,0,0,0,0.0,,GT,2023-05-01,2023-06-01
Aman Hakim Khan,6,6,5,5,0,0,5,1 (1ct 0st),0.833,,DC,2023-05-01,2023-06-01
AR Patel,6,6,4,4,0,0,4,2 (2ct 0st),0.666,,DC,2023-05-01,2023-06-01
RR Rossouw,6,6,3,3,0,0,3,1 (1ct 0st),0.5,,DC,2023-05-01,2023-06-01
DA Warner,6,6,3,3,0,0,3,2 (2ct 0st),0.5,,DC,2023-05-01,2023-06-01
KK Ahmed,6,6,2,2,0,0,2,1 (1ct 0st),0.333,,DC,2023-05-01,2023-06-01
MR Marsh,3,3,2,2,0,0,2,1 (1ct 0st),0.666,,DC,2023-05-01,2023-06-01
PD Salt,6,6,2,2,0,2,0,1 (1ct 0st),0.333,,DC,2023-05-01,2023-06-01
Lalit Yadav,2,2,2,2,0,0,2,1 (1ct 0st),1.0,,DC,2023-05-01,2023-06-01
YV Dhull,2,2,1,1,0,0,1,1 (1ct 0st),0.5,,DC,2023-05-01,2023-06-01
MK Pandey,4,4,1,1,0,0,1,1 (1ct 0st),0.25,,DC,2023-05-01,2023-06-01
RV Patel,3,3,1,1,0,0,1,1 (1ct 0st),0.333,,DC,2023-05-01,2023-06-01
P Dubey,1,1,0,0,0,0,0,0,0.0,,DC,2023-05-01,2023-06-01
PK Garg,1,1,0,0,0,0,0,0,0.0,,DC,2023-05-01,2023-06-01
Kuldeep Yadav,6,6,0,0,0,0,0,0,0.0,,DC,2023-05-01,2023-06-01
Mukesh Kumar,3,3,0,0,0,0,0,0,0.0,,DC,2023-05-01,2023-06-01
A Nortje,3,3,0,0,0,0,0,0,0.0,,DC,2023-05-01,2023-06-01
C Sakariya,1,1,0,0,0,0,0,0,0.0,,DC,2023-05-01,2023-06-01
I Sharma,5,5,0,0,0,0,0,0,0.0,,DC,2023-05-01,2023-06-01
PP Shaw,2,2,0,0,0,0,0,0,0.0,,DC,2023-05-01,2023-06-01
RD Gaikwad,7,7,7,7,0,0,7,2 (2ct 0st),1.0,,CSK,2023-05-01,2023-06-01
AM Rahane,7,7,5,5,0,0,5,2 (2ct 0st),0.714,,CSK,2023-05-01,2023-06-01
MM Ali,7,7,4,4,0,0,4,2 (2ct 0st),0.571,,CSK,2023-05-01,2023-06-01
RA Jadeja,7,7,4,4,0,0,4,2 (2ct 0st),0.571,,CSK,2023-05-01,2023-06-01
M Pathirana,7,7,3,3,0,0,3,1 (1ct 0st),0.428,,CSK,2023-05-01,2023-06-01
DP Conway,7,7,2,2,0,0,2,2 (2ct 0st),0.285,,CSK,2023-05-01,2023-06-01
TU Deshpande,7,7,2,2,0,0,2,1 (1ct 0st),0.285,,CSK,2023-05-01,2023-06-01
MS Dhoni,7,7,2,1,1,1,0,2 (1ct 1st),0.285,,CSK,2023-05-01,2023-06-01
AT Rayudu,7,7,2,2,0,0,2,1 (1ct 0st),0.285,,CSK,2023-05-01,2023-06-01
M Theekshana,7,7,2,2,0,0,2,1 (1ct 0st),0.285,,CSK,2023-05-01,2023-06-01
DL Chahar,7,7,1,1,0,0,1,1 (1ct 0st),0.142,,CSK,2023-05-01,2023-06-01
S Dube,7,7,0,0,0,0,0,0,0.0,,CSK,2023-05-01,2023-06-01
SO Hetmyer,5,5,4,4,0,0,4,2 (2ct 0st),0.8,,RR,2023-05-01,2023-06-01
YBK Jaiswal,5,5,3,3,0,0,3,2 (2ct 0st),0.6,,RR,2023-05-01,2023-06-01
TA Boult,3,3,2,2,0,0,2,1 (1ct 0st),0.666,,RR,2023-05-01,2023-06-01
JE Root,3,3,2,2,0,0,2,2 (2ct 0st),0.666,,RR,2023-05-01,2023-06-01
R Ashwin,4,4,1,1,0,0,1,1 (1ct 0st),0.25,,RR,2023-05-01,2023-06-01
JC Buttler,5,5,1,1,0,0,1,1 (1ct 0st),0.2,,RR,2023-05-01,2023-06-01
YS Chahal,5,5,1,1,0,0,1,1 (1ct 0st),0.2,,RR,2023-05-01,2023-06-01
DC Jurel,5,5,1,1,0,0,1,1 (1ct 0st),0.2,,RR,2023-05-01,2023-06-01
D Padikkal,3,3,1,1,0,0,1,1 (1ct 0st),0.333,,RR,2023-05-01,2023-06-01
